# マイクラ学習クエスト3D - 問題ファイル
# 列の説明:
#   subject  : math（さんすう）/ japanese（こくご）/ english（えいご）
#   grade    : 2〜6（学年）
#   id       : 問題の一意ID（変更・再利用禁止。新しい問題は末尾の番号を続けて採番）
#   question : 問題文
#   opt1〜opt4: 選択肢（opt3・opt4は省略可で2択になる）
#   correct  : 正解の選択肢番号（0始まり。opt1=0, opt2=1, opt3=2, opt4=3）
#   explain  : 解説文（省略可）
#   diff     : easy / normal / hard（省略するとnormal）
#
# ※ この行（#で始まる行）はコメントとして無視されます
# ※ CSVを編集したらGitHubにpushするとタブレットに自動反映されます
# ※ 問題を削除するときはその行を消すだけでOK（IDは再利用しないこと）
subject,grade,id,question,opt1,opt2,opt3,opt4,correct,explain,diff,type
math,2,m001,2 ＋ 3 ＝ ？,4,5,6,7,1,たすと5になるよ！,easy
math,2,m002,10 ー 4 ＝ ？,5,6,7,8,1,10から4をひくと6だよ,easy
math,2,m003,3 × 4 ＝ ？,10,11,12,13,2,3を4かいたすと12だよ,normal
math,2,m004,5 × 6 ＝ ？,28,30,32,35,1,5×6＝30だよ,normal
math,2,m005,8 × 9 ＝ ？,62,63,72,81,2,8×9＝72だよ,hard
math,2,m006,100 ー 38 ＝ ？,52,60,62,68,2,100から38をひくと62だよ,hard
japanese,2,j001,「牛」の読みかたは？,うし,うま,いぬ,ねこ,0,牛はうしとよむよ,easy
japanese,2,j002,「竹」の読みかたは？,たけ,かわ,いし,くさ,0,竹はたけとよむよ,easy
japanese,2,j003,「きれい」のはんたいは？,ふるい,きたない,おおきい,ちいさい,1,きれいのはんたいはきたないだよ,normal
japanese,2,j004,「ひろい」のはんたいは？,せまい,ながい,みじかい,おもい,0,ひろいのはんたいはせまいだよ,normal
english,2,e001,「Good afternoon」のいみは？,おはよう,こんにちは,こんばんは,さようなら,1,Good afternoonはこんにちはのいみだよ,easy
english,2,e002,ピンクは英語で？,purple,pink,orange,brown,1,ピンクはpinkだよ,easy
english,2,e003,赤は英語で？,blue,green,red,yellow,2,赤はredだよ,normal
english,2,e004,1・2・3を英語で？,one two three,a b c,red blue green,big small long,0,1はone 2はtwo 3はthreeだよ,normal
math,2,m007,4 ＋ 5 ＝ ？,8,9,10,11,1,4たす5は9だよ,easy
math,2,m008,7 ー 3 ＝ ？,3,4,5,6,1,7から3をひくと4だよ,easy
math,2,m009,2 × 3 ＝ ？,4,5,6,7,2,2を3かいたすと6だよ,easy
math,2,m010,6 ＋ 7 ＝ ？,11,12,13,14,1,6たす7は12だよ,easy
math,2,m011,9 ー 5 ＝ ？,3,4,5,6,1,9から5をひくと4だよ,easy
math,2,m012,2 × 5 ＝ ？,8,9,10,11,2,2を5かいたすと10だよ,easy
math,2,m013,1 × 9 ＝ ？,7,8,9,10,2,1×9＝9だよ,easy
math,2,m014,4 × 7 ＝ ？,24,26,28,30,2,4×7＝28だよ,normal
math,2,m015,6 × 8 ＝ ？,42,46,48,54,2,6×8＝48だよ,normal
